Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Tb-Lb3,7.09670e+03,0.00000e+00,0.00000e+00,6.92415e-01
Tb-Ma1,1.23260e+03,0.00000e+00,0.00000e+00,3.83551e-01
Tb-Mb,1.26560e+03,0.00000e+00,0.00000e+00,3.96090e-01
Tb-Mz1,9.64800e+02,0.00000e+00,0.00000e+00,3.96090e-01
Dy-La1,6.49520e+03,1.90256e+02,0.00000e+00,5.85460e-01
Dy-La2,6.45760e+03,2.09281e+01,0.00000e+00,5.85460e-01
Dy-Lb1,7.24810e+03,9.51278e+01,0.00000e+00,6.64663e-01
Dy-Lb2,7.63590e+03,3.99537e+01,0.00000e+00,5.85460e-01
Dy-Lb3,7.37020e+03,1.90256e+01,0.00000e+00,7.12647e-01
Dy-Ma1,1.29070e+03,0.00000e+00,0.00000e+00,3.77862e-01
Dy-Mb,1.32830e+03,0.00000e+00,0.00000e+00,3.91055e-01
Dy-Mz1,1.00070e+03,0.00000e+00,0.00000e+00,3.91055e-01
Ho-La1,6.71970e+03,1.58201e+03,0.00000e+00,5.88659e-01
Ho-La2,6.67960e+03,1.58201e+02,0.00000e+00,5.88659e-01
Ho-Lb1,7.52630e+03,6.80264e+02,0.00000e+00,6.71274e-01
Ho-Lb2,7.91010e+03,2.68942e+02,0.00000e+00,5.88659e-01
Ho-Ma1,1.34770e+03,0.00000e+00,0.00000e+00,3.71586e-01
Ho-Mb,1.38780e+03,0.00000e+00,0.00000e+00,3.84865e-01
Ho-Mz1,1.04800e+03,0.00000e+00,0.00000e+00,3.84865e-01
Er-La1,6.94860e+03,0.00000e+00,0.00000e+00,5.96254e-01
Er-La2,6.90460e+03,0.00000e+00,0.00000e+00,5.96254e-01
Er-Lb1,7.81100e+03,0.00000e+00,0.00000e+00,6.83067e-01
Er-Lb2,8.19030e+03,0.00000e+00,0.00000e+00,5.96254e-01
Er-Ma1,1.40500e+03,0.00000e+00,0.00000e+00,3.64371e-01
